Rk,Player,Tm,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed,Salary Count,Average Salary
1,Stephen Curry,GSW,"$55,761,216","$59,606,817","$62,587,158",,,,177955191,3,59318397.0
2,Joel Embiid,PHI,"$51,415,938","$55,224,526","$57,985,752","$62,624,612","$67,263,472",,227250828,5,45450165.6
3,Nikola Jokić,DEN,"$51,415,938","$55,224,526","$59,033,114","$62,841,702",,,165673578,4,41418394.5
4,Kevin Durant,PHO,"$51,179,021","$54,708,609",,,,,105887630,2,52943815.0
5,Bradley Beal,PHO,"$50,203,930","$53,666,270","$57,128,610",,,,103870200,3,34623400.0
6,Jaylen Brown,BOS,"$49,205,800","$53,142,264","$57,078,728","$61,015,192","$64,951,656",,285393640,5,57078728.0
7,Devin Booker,PHO,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,220441984,4,55110496.0
8,Karl-Anthony Towns,NYK,"$49,205,800","$53,142,264","$57,078,728","$61,015,192",,,159426792,4,39856698.0
9,Paul George,PHI,"$49,205,800","$51,666,090","$54,126,380","$56,586,670",,,154998270,4,38749567.5
10,Kawhi Leonard,LAC,"$49,205,800","$50,000,000","$50,300,000",,,,149505800,3,49835266.666666664
11,Jimmy Butler,GSW,"$48,798,677","$54,126,450","$56,832,773",,,,159757900,3,53252633.333333336
12,Giannis Antetokounmpo,MIL,"$48,787,676","$54,126,450","$58,456,566","$62,786,682",,,161370692,4,40342673.0
13,Damian Lillard,MIL,"$48,787,676","$54,126,450","$58,456,566",,,,102914126,3,34304708.666666664
14,LeBron James,LAL,"$48,728,845","$52,627,153",,,,,48728845,2,24364422.5
15,Zach LaVine,SAC,"$44,531,940","$47,499,660","$48,967,380",,,,92031600,3,30677200.0
16,Rudy Gobert,MIN,"$43,827,586","$35,000,000","$36,500,000","$38,000,000",,,115327586,4,28831896.5
17,Anthony Davis,DAL,"$43,219,440","$54,126,450","$58,456,566","$62,786,682",,,155802456,4,38950614.0
18,Luka Dončić,LAL,"$43,031,940","$45,999,660","$48,967,380",,,,89031600,3,29677200.0
19,Trae Young,ATL,"$43,031,940","$45,999,660","$48,967,380",,,,89031600,3,29677200.0
20,Fred VanVleet,HOU,"$42,846,615","$44,886,930",,,,,42846615,2,21423307.5
21,Anthony Edwards,MIN,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,244623120,5,48924624.0
22,Tyrese Haliburton,IND,"$42,176,400","$45,550,512","$48,924,624","$52,298,736","$55,672,848",,244623120,5,48924624.0
23,Lauri Markkanen,UTA,"$42,176,400","$46,394,100","$46,113,154","$49,824,681","$53,536,209",,238044544,5,47608908.8
24,Pascal Siakam,IND,"$42,176,400","$45,550,512","$48,924,624","$52,298,736",,,188950272,4,47237568.0
25,Kyrie Irving,DAL,"$41,000,000","$43,962,963",,,,,41000000,2,20500000.0
26,Domantas Sabonis,SAC,"$40,500,000","$43,636,000","$46,772,000","$49,908,000",,,180816000,4,45204000.0
27,Ben Simmons,BRK,"$40,011,909",,,,,,39256083,1,39256083.0
28,Zion Williamson,NOP,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,163225200,4,40806300.0
29,Ja Morant,MEM,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,163225200,4,40806300.0
30,Darius Garland,CLE,"$36,725,670","$39,446,090","$42,166,510","$44,886,930",,,163225200,4,40806300.0
31,OG Anunoby,NYK,"$36,637,932","$39,568,966","$42,500,000","$45,431,034","$48,362,068",,164137932,5,32827586.4
32,Jamal Murray,DEN,"$36,016,200","$46,394,100","$50,105,628","$53,817,156","$57,528,684",,243861768,5,48772353.6
33,Brandon Ingram,TOR,"$36,016,200","$38,095,238","$40,000,000","$41,904,762",,,114111438,4,28527859.5
34,Shai Gilgeous-Alexander,OKC,"$35,859,950","$38,333,050","$40,806,150",,,,114999150,3,38333050.0
35,Michael Porter Jr.,DEN,"$35,859,950","$38,333,050","$40,806,150",,,,86193000,3,28731000.0
36,Donovan Mitchell,CLE,"$35,410,310","$46,394,100","$50,105,628","$53,817,156",,,131910038,4,32977509.5
37,Tyrese Maxey,PHI,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,203852600,5,40770520.0
38,LaMelo Ball,CHO,"$35,147,000","$37,958,760","$40,770,520","$43,582,280","$46,394,040",,203852600,5,40770520.0
39,Jayson Tatum,BOS,"$34,848,340","$54,126,450","$58,456,566","$62,786,682","$67,116,798","$71,446,914",277334836,6,46222472.666666664
40,Bam Adebayo,MIA,"$34,848,340","$37,096,620","$48,713,700","$52,610,796","$56,507,892",,173269456,5,34653891.2
41,De'Aaron Fox,SAS,"$34,848,340","$37,096,620",,,,,71944960,2,35972480.0
42,Desmond Bane,MEM,"$34,005,250","$36,725,670","$39,446,090","$42,166,510","$44,886,930",,197230450,5,39446090.0
43,Deandre Ayton,POR,"$34,005,126","$35,550,814",,,,,69555940,2,34777970.0
44,James Harden,LAC,"$33,653,846","$36,346,154",,,,,33653846,2,16826923.0
45,CJ McCollum,NOP,"$33,333,333","$30,666,666",,,,,63999999,2,31999999.5
46,Julius Randle,MIN,"$33,073,920","$30,935,520",,,,,33073920,2,16536960.0
47,Immanuel Quickley,TOR,"$32,500,000","$32,500,000","$32,500,000","$32,500,000","$32,500,000",,162500000,5,32500000.0
48,Khris Middleton,WAS,"$31,000,000","$33,296,296",,,,,31000000,2,15500000.0
49,Jrue Holiday,BOS,"$30,000,000","$32,400,000","$34,800,000","$37,200,000",,,97200000,4,24300000.0
50,Isaiah Hartenstein,OKC,"$30,000,000","$28,500,000","$28,500,000",,,,58500000,3,19500000.0
51,Jerami Grant,POR,"$29,793,104","$32,000,001","$34,206,898","$36,413,790",,,96000003,4,24000000.75
52,Jordan Poole,WAS,"$29,651,786","$31,848,215","$34,044,642",,,,95544643,3,31848214.333333332
53,Dejounte Murray,NOP,"$29,517,135","$31,557,103","$33,597,072","$31,619,506",,,94671310,4,23667827.5
54,Devin Vassell,SAS,"$29,347,826","$27,000,000","$27,000,000","$24,652,174","$27,000,000",,135000000,5,27000000.0
55,Kristaps Porziņģis,BOS,"$29,268,293","$30,731,707",,,,,60000000,2,30000000.0
56,Tyler Herro,MIA,"$29,000,000","$31,000,000","$33,000,000",,,,93000000,3,31000000.0
57,Nic Claxton,BRK,"$27,556,817","$25,352,272","$23,147,727","$20,943,184",,,97000000,4,24250000.0
58,Miles Bridges,CHO,"$27,173,913","$25,000,000","$22,826,087",,,,75000000,3,25000000.0
59,John Collins,UTA,"$26,580,000","$26,580,000",,,,,26580000,2,13290000.0
60,Andrew Wiggins,MIA,"$26,276,786","$28,223,215","$30,169,644",,,,54500001,3,18166667.0
61,Anfernee Simons,POR,"$25,892,857","$27,678,571",,,,,53571428,2,26785714.0
62,RJ Barrett,TOR,"$25,794,643","$27,705,357","$29,616,071",,,,83116071,3,27705357.0
63,Tobias Harris,DET,"$25,365,854","$26,634,146",,,,,52000000,2,26000000.0
64,Jaren Jackson Jr.,MEM,"$25,257,798","$23,413,395",,,,,48671193,2,24335596.5
65,Jonathan Isaac,ORL,"$25,000,000","$15,000,000","$14,500,000","$14,500,000","$15,000,000",,69000000,5,13800000.0
66,Jalen Brunson,NYK,"$24,960,001","$34,944,001","$37,739,521","$40,535,041","$43,330,561",,138178564,5,27635712.8
67,Terry Rozier,MIA,"$24,924,126","$26,643,031",,,,,51567157,2,25783578.5
